journal,publisher,count
PLoS ONE,"Public Library of Science; San Francisco, USA",25098
Scientific Reports,Nature Publishing Group UK; London,15825
Frontiers in Microbiology,Frontiers Media S.A.,13817
Nature Communications,Nature Publishing Group UK; London,8653
Frontiers in Plant Science,Frontiers Media S.A.,6697
BMC Genomics,BioMed Central; London,6437
Genome Announcements,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",6137
Nucleic Acids Research,Oxford University Press,5847
International Journal of Molecular Sciences,MDPI,5507
Frontiers in Immunology,Frontiers Media S.A.,5368
iScience,Elsevier,4581
Microbiology Resource Announcements,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",4027
Scientific Data,Nature Publishing Group UK; London,3972
eLife,"eLife Sciences Publications, Ltd",3879
Data in Brief,Elsevier,3487
"Mitochondrial DNA. Part B, Resources",Taylor & Francis,2954
Frontiers in Genetics,Frontiers Media S.A.,2835
PeerJ,"PeerJ Inc.; San Diego, USA",2750
Microorganisms,MDPI,2717
bioRxiv,Cold Spring Harbor Laboratory,2514
PLoS Genetics,"Public Library of Science; San Francisco, USA",2497
PLOS ONE,"Public Library of Science; San Francisco, CA USA",2492
Ecology and Evolution,John Wiley and Sons Inc.; Hoboken,2477
Frontiers in Cellular and Infection Microbiology,Frontiers Media S.A.,2416
Heliyon,Elsevier,2350
Frontiers in Psychology,Frontiers Media S.A.,2247
Viruses,MDPI,2146
Frontiers in Oncology,Frontiers Media S.A.,2144
Microbiology Spectrum,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",2112
Molecules,MDPI,2077
The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology,1958
Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,1832
Cell reports,,1763
Genome Research,Cold Spring Harbor Laboratory Press,1727
BMC Plant Biology,BioMed Central; London,1723
mBio,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",1715
PLoS Pathogens,"Public Library of Science; San Francisco, USA",1690
Genes,MDPI,1680
Emerging Infectious Diseases,Centers for Disease Control and Prevention,1575
BMC Microbiology,BioMed Central; London,1493
Frontiers in Veterinary Science,Frontiers Media S.A.,1493
Parasites & Vectors,BioMed Central; London,1492
BMC Evolutionary Biology,BioMed Central; London,1483
G3: Genes|Genomes|Genetics,Oxford University Press,1481
Oncotarget,Impact Journals LLC,1466
F1000Research,"F1000 Research Limited; London, UK",1356
Frontiers in Endocrinology,Frontiers Media S.A.,1348
Genome Biology,BioMed Central; London,1324
PLoS Neglected Tropical Diseases,"Public Library of Science; San Francisco, USA",1160
Plants,MDPI,1139
BMC Bioinformatics,BioMed Central; London,1138
Frontiers in Cell and Developmental Biology,Frontiers Media S.A.,1126
Frontiers in Nutrition,Frontiers Media S.A.,1120
ZooKeys,Pensoft Publishers,1105
Science Advances,American Association for the Advancement of Science,1093
Microbial Genomics,Microbiology Society,1088
Pathogens,MDPI,1067
Communications Biology,Nature Publishing Group UK; London,1065
JCI Insight,American Society for Clinical Investigation,1053
Animals : an Open Access Journal from MDPI,MDPI,1045
PLoS Biology,"Public Library of Science; San Francisco, USA",1040
Genome Biology and Evolution,Oxford University Press,1010
Chemical Science,The Royal Society of Chemistry,1007
Frontiers in Physiology,Frontiers Media S.A.,1002
